diet_type,food_health_preference,taste_preference,preferred_cuisine,allergies,budget_range,location,digestion_preference,user_age,current_weather,meal_time,calorie_preference,suggested_dish
vegetarian,high protein,umami,Thai,dairy,medium,suburban,moderate,19,humid,breakfast,high,Mixed Veg Bowl
vegan,low carb,umami,Thai,nuts,medium,rural,heavy,51,hot,dinner,high,Mixed Veg Bowl
vegan,balanced,savory,Thai,dairy,medium,suburban,heavy,54,humid,dinner,low,Mixed Veg Bowl
vegetarian,high protein,umami,Mexican,gluten,medium,suburban,easy,47,sunny,breakfast,low,Mixed Veg Bowl
non-vegetarian,balanced,salty,Italian,soy,low,rural,moderate,44,hot,breakfast,low,Anchovy Pizza
vegetarian,low fat,savory,Mexican,soy,high,rural,moderate,24,cold,lunch,high,Mixed Veg Bowl
vegetarian,balanced,spicy,Mexican,soy,low,suburban,moderate,15,cold,lunch,low,Spicy Bean Enchiladas
vegan,balanced,savory,Chinese,none,low,suburban,moderate,20,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Italian,none,medium,urban,easy,47,hot,dinner,high,Mixed Veg Bowl
vegan,high protein,sweet,Chinese,nuts,low,rural,moderate,39,humid,breakfast,moderate,Sweet Sesame Tofu
vegetarian,balanced,salty,Italian,gluten,high,rural,easy,33,cold,breakfast,high,Mixed Veg Bowl
non-vegetarian,balanced,sweet,Mexican,gluten,medium,rural,moderate,67,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,salty,Thai,none,low,rural,heavy,65,rainy,dinner,moderate,Shrimp Satay
vegetarian,low fat,umami,Chinese,nuts,low,suburban,easy,65,rainy,breakfast,moderate,Paneer Chili Dry
non-vegetarian,balanced,sweet,Italian,soy,high,rural,easy,18,cold,breakfast,high,Mixed Veg Bowl
vegan,balanced,savory,Mexican,dairy,high,rural,heavy,13,hot,lunch,low,Mixed Veg Bowl
non-vegetarian,balanced,sweet,Thai,dairy,high,rural,easy,35,sunny,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,salty,Indian,nuts,high,rural,moderate,62,humid,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,balanced,salty,Thai,gluten,high,urban,heavy,67,sunny,breakfast,low,Shrimp Satay
vegetarian,low fat,sweet,Mexican,soy,high,urban,heavy,41,cold,breakfast,moderate,Sweet Corn Pudding
vegan,balanced,sweet,Indian,none,low,rural,moderate,38,humid,dinner,low,Mixed Veg Bowl
vegan,balanced,savory,Mexican,none,medium,urban,easy,26,rainy,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low fat,salty,Thai,nuts,medium,suburban,easy,18,sunny,breakfast,moderate,Shrimp Satay
vegetarian,high protein,sweet,Indian,soy,medium,rural,heavy,19,rainy,dinner,low,Kesari Bath
non-vegetarian,high protein,spicy,Thai,soy,medium,urban,easy,18,sunny,breakfast,high,Red Curry Chicken
vegan,low fat,sweet,Thai,dairy,low,rural,moderate,12,hot,dinner,moderate,Tofu Mango Curry
vegan,low fat,savory,Chinese,soy,high,suburban,heavy,24,cold,lunch,high,Mixed Veg Bowl
vegetarian,balanced,sweet,Thai,gluten,medium,rural,easy,66,hot,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,low fat,umami,Mexican,gluten,high,rural,moderate,49,sunny,dinner,moderate,Mixed Veg Bowl
vegetarian,low carb,savory,Indian,soy,low,urban,moderate,58,hot,lunch,moderate,Mixed Veg Bowl
vegan,high protein,sweet,Indian,soy,medium,rural,heavy,38,sunny,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,savory,Indian,none,low,suburban,easy,18,rainy,lunch,moderate,Mixed Veg Bowl
vegan,high protein,umami,Indian,none,medium,rural,heavy,68,rainy,breakfast,low,Mixed Veg Bowl
non-vegetarian,high protein,savory,Thai,soy,medium,rural,moderate,57,cold,dinner,moderate,Mixed Veg Bowl
vegetarian,high protein,sweet,Mexican,none,medium,urban,heavy,26,cold,breakfast,low,Choco Tacos
vegan,low fat,umami,Mexican,none,low,suburban,moderate,17,cold,breakfast,high,Mixed Veg Bowl
vegetarian,high protein,savory,Italian,gluten,medium,urban,moderate,34,hot,lunch,high,Margherita Pizza
vegetarian,low carb,sweet,Italian,dairy,low,rural,heavy,56,humid,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,savory,Thai,soy,high,rural,moderate,40,rainy,lunch,high,Mixed Veg Bowl
vegetarian,high protein,sweet,Chinese,soy,medium,rural,easy,21,humid,breakfast,high,Mixed Veg Bowl
vegetarian,balanced,salty,Thai,none,high,rural,heavy,68,rainy,lunch,high,Mixed Veg Bowl
vegetarian,balanced,sweet,Mexican,gluten,high,rural,heavy,28,hot,breakfast,high,Choco Tacos
vegan,high protein,spicy,Chinese,dairy,medium,urban,heavy,15,hot,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,salty,Chinese,gluten,low,rural,heavy,20,rainy,dinner,moderate,Stir Fried Tofu with Veggies
non-vegetarian,low carb,savory,Thai,soy,medium,rural,heavy,24,sunny,dinner,low,Mixed Veg Bowl
vegan,high protein,umami,Indian,soy,medium,suburban,easy,51,rainy,breakfast,moderate,Mixed Veg Bowl
vegetarian,low carb,savory,Indian,none,high,urban,heavy,52,humid,lunch,moderate,Mixed Veg Bowl
vegetarian,low carb,spicy,Indian,gluten,medium,rural,moderate,57,rainy,dinner,low,Rajma Chawal
non-vegetarian,high protein,sweet,Thai,gluten,medium,urban,moderate,47,humid,dinner,low,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Mexican,dairy,medium,suburban,moderate,60,hot,breakfast,low,Mixed Veg Bowl
vegan,low fat,sweet,Mexican,dairy,medium,suburban,easy,36,rainy,breakfast,high,Sweet Potato Tacos
vegan,low carb,savory,Chinese,soy,low,rural,heavy,46,sunny,dinner,high,Mixed Veg Bowl
vegan,low carb,umami,Chinese,nuts,medium,suburban,moderate,35,hot,dinner,moderate,Mixed Veg Bowl
vegan,low carb,savory,Thai,soy,low,urban,heavy,59,hot,dinner,moderate,Mixed Veg Bowl
vegetarian,high protein,sweet,Indian,none,medium,suburban,easy,56,hot,dinner,moderate,Kesari Bath
non-vegetarian,balanced,savory,Indian,gluten,medium,suburban,heavy,20,humid,dinner,moderate,Mixed Veg Bowl
vegetarian,balanced,sweet,Italian,soy,medium,suburban,heavy,34,humid,lunch,high,Mixed Veg Bowl
vegan,low fat,sweet,Italian,gluten,medium,suburban,easy,50,cold,lunch,high,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Mexican,dairy,low,suburban,heavy,27,humid,breakfast,low,Hot Salsa Burrito
vegan,balanced,spicy,Thai,soy,medium,rural,easy,41,humid,dinner,low,Mixed Veg Bowl
vegetarian,low fat,sweet,Indian,none,medium,suburban,moderate,25,cold,lunch,high,Gulab Jamun
vegetarian,low carb,umami,Indian,none,high,suburban,heavy,60,hot,breakfast,low,Mixed Veg Bowl
non-vegetarian,low carb,spicy,Thai,none,low,rural,moderate,55,hot,lunch,low,Red Curry Chicken
vegetarian,balanced,savory,Mexican,nuts,high,urban,easy,66,humid,breakfast,low,Mixed Veg Bowl
vegan,low fat,spicy,Mexican,soy,medium,suburban,easy,12,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Chinese,dairy,low,rural,easy,67,hot,dinner,high,Mixed Veg Bowl
vegan,low fat,sweet,Indian,gluten,high,rural,moderate,66,humid,dinner,low,Mixed Veg Bowl
vegan,balanced,salty,Indian,dairy,medium,rural,easy,31,humid,dinner,high,Mixed Veg Bowl
vegan,low carb,sweet,Italian,dairy,medium,urban,easy,37,humid,dinner,moderate,Mixed Veg Bowl
vegetarian,low fat,spicy,Mexican,nuts,medium,urban,heavy,54,hot,breakfast,low,Vegetarian Tacos
vegan,high protein,salty,Chinese,soy,medium,urban,easy,20,humid,breakfast,high,Garlic Bok Choy
vegan,low fat,spicy,Chinese,none,medium,suburban,heavy,36,humid,dinner,high,Mixed Veg Bowl
vegetarian,balanced,sweet,Thai,none,medium,suburban,moderate,36,humid,dinner,high,Mixed Veg Bowl
vegan,high protein,spicy,Italian,dairy,low,rural,moderate,46,sunny,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low carb,savory,Mexican,nuts,high,urban,moderate,19,hot,breakfast,moderate,Beef Burrito
non-vegetarian,low fat,umami,Indian,soy,high,rural,heavy,23,sunny,breakfast,moderate,Mixed Veg Bowl
vegan,high protein,sweet,Chinese,soy,low,suburban,moderate,12,cold,lunch,low,Sweet Sesame Tofu
non-vegetarian,balanced,savory,Mexican,soy,high,suburban,easy,43,humid,lunch,moderate,Beef Burrito
vegan,low fat,umami,Indian,gluten,low,rural,heavy,39,hot,dinner,moderate,Mixed Veg Bowl
vegan,low carb,umami,Italian,nuts,medium,suburban,heavy,55,humid,dinner,moderate,Mushroom Risotto
vegetarian,balanced,spicy,Indian,none,medium,urban,moderate,67,hot,breakfast,high,Rajma Chawal
non-vegetarian,high protein,spicy,Italian,gluten,high,suburban,heavy,56,sunny,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,salty,Chinese,none,medium,suburban,moderate,47,hot,breakfast,moderate,Stir Fried Tofu with Veggies
non-vegetarian,high protein,salty,Indian,gluten,low,rural,heavy,61,hot,lunch,high,Mixed Veg Bowl
non-vegetarian,high protein,umami,Chinese,dairy,high,urban,easy,43,sunny,dinner,moderate,Kung Pao Chicken
non-vegetarian,high protein,spicy,Indian,gluten,medium,urban,moderate,49,rainy,lunch,moderate,Chicken Biryani
vegetarian,low fat,sweet,Indian,nuts,low,suburban,heavy,40,hot,dinner,high,Gulab Jamun
non-vegetarian,low carb,sweet,Italian,nuts,low,rural,heavy,32,sunny,dinner,moderate,Mixed Veg Bowl
vegan,high protein,sweet,Thai,nuts,high,suburban,moderate,30,humid,breakfast,high,Vegan Pad Thai
vegan,high protein,spicy,Chinese,soy,medium,urban,heavy,28,humid,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Italian,gluten,high,suburban,moderate,51,cold,dinner,low,Mixed Veg Bowl
vegetarian,balanced,sweet,Indian,none,low,rural,moderate,49,hot,dinner,moderate,Gulab Jamun
vegan,balanced,sweet,Indian,nuts,medium,suburban,heavy,57,rainy,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,umami,Italian,none,low,urban,easy,40,cold,breakfast,low,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Indian,none,medium,suburban,easy,16,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,low carb,spicy,Italian,nuts,medium,urban,heavy,35,hot,dinner,high,Mixed Veg Bowl
vegan,balanced,salty,Italian,gluten,medium,rural,heavy,54,hot,breakfast,high,Mixed Veg Bowl
vegan,high protein,savory,Thai,soy,high,suburban,heavy,25,humid,dinner,low,Mixed Veg Bowl
vegetarian,high protein,spicy,Chinese,dairy,high,urban,moderate,55,rainy,lunch,high,Mixed Veg Bowl
vegetarian,high protein,sweet,Thai,soy,low,rural,heavy,18,sunny,breakfast,low,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Mexican,none,low,urban,easy,33,hot,lunch,low,Spicy Chicken Enchiladas
non-vegetarian,balanced,spicy,Mexican,none,medium,rural,moderate,40,hot,lunch,high,Spicy Chicken Enchiladas
non-vegetarian,balanced,savory,Chinese,dairy,medium,urban,easy,21,rainy,dinner,low,Mixed Veg Bowl
vegetarian,balanced,umami,Thai,soy,medium,rural,heavy,43,sunny,lunch,high,Mixed Veg Bowl
vegan,balanced,spicy,Thai,soy,high,urban,easy,21,rainy,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,umami,Thai,soy,high,suburban,moderate,20,hot,lunch,moderate,Mixed Veg Bowl
vegan,low carb,spicy,Thai,none,high,rural,heavy,59,sunny,dinner,moderate,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Indian,nuts,high,urban,moderate,58,hot,dinner,high,Chicken Biryani
non-vegetarian,balanced,spicy,Indian,nuts,low,rural,easy,38,humid,breakfast,moderate,Chicken Biryani
non-vegetarian,low fat,salty,Italian,soy,medium,urban,easy,42,humid,breakfast,low,Seafood Risotto
vegan,low carb,umami,Indian,soy,low,urban,moderate,48,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,umami,Chinese,nuts,high,suburban,moderate,37,sunny,lunch,high,Kung Pao Chicken
non-vegetarian,balanced,umami,Chinese,none,high,urban,moderate,37,sunny,breakfast,low,Kung Pao Chicken
vegan,high protein,umami,Thai,gluten,medium,rural,moderate,43,humid,dinner,high,Mixed Veg Bowl
vegetarian,balanced,savory,Chinese,gluten,medium,urban,moderate,40,cold,lunch,high,Mixed Veg Bowl
vegetarian,high protein,sweet,Chinese,nuts,high,urban,easy,18,hot,breakfast,high,Mixed Veg Bowl
non-vegetarian,balanced,salty,Chinese,nuts,medium,urban,easy,65,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,savory,Indian,gluten,high,rural,easy,11,humid,lunch,low,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Italian,dairy,medium,urban,moderate,36,sunny,lunch,high,Mixed Veg Bowl
vegetarian,high protein,sweet,Chinese,nuts,high,rural,easy,20,cold,lunch,high,Mixed Veg Bowl
vegetarian,balanced,umami,Mexican,gluten,medium,suburban,easy,19,hot,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Italian,dairy,medium,urban,easy,65,cold,dinner,high,Mixed Veg Bowl
vegetarian,low fat,salty,Italian,none,low,rural,easy,26,cold,lunch,moderate,Mixed Veg Bowl
non-vegetarian,high protein,salty,Mexican,dairy,medium,rural,heavy,48,rainy,lunch,low,Mixed Veg Bowl
vegan,low fat,sweet,Mexican,gluten,high,rural,easy,11,humid,breakfast,moderate,Sweet Potato Tacos
vegan,balanced,umami,Chinese,none,medium,suburban,heavy,49,sunny,lunch,low,Mixed Veg Bowl
vegetarian,high protein,spicy,Thai,gluten,high,rural,moderate,57,rainy,lunch,low,Spicy Thai Noodles
vegan,low carb,spicy,Indian,gluten,medium,rural,easy,34,sunny,breakfast,high,Chana Masala
non-vegetarian,low fat,savory,Chinese,dairy,high,urban,heavy,65,rainy,lunch,high,Mixed Veg Bowl
vegetarian,high protein,savory,Indian,soy,medium,suburban,easy,36,cold,dinner,high,Mixed Veg Bowl
vegan,low fat,umami,Italian,none,low,urban,moderate,32,hot,dinner,low,Mushroom Risotto
vegetarian,balanced,sweet,Indian,none,low,suburban,heavy,23,rainy,breakfast,low,Gulab Jamun
vegetarian,balanced,umami,Italian,nuts,medium,rural,heavy,16,sunny,lunch,high,Mixed Veg Bowl
vegetarian,balanced,spicy,Italian,dairy,medium,rural,moderate,59,humid,dinner,moderate,Mixed Veg Bowl
vegetarian,low carb,salty,Indian,dairy,low,suburban,easy,52,cold,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Mexican,nuts,low,suburban,heavy,52,rainy,lunch,high,Mixed Veg Bowl
vegan,balanced,savory,Indian,dairy,low,suburban,easy,43,rainy,lunch,moderate,Mixed Veg Bowl
vegan,balanced,salty,Mexican,none,low,suburban,easy,41,sunny,lunch,high,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Chinese,nuts,low,rural,moderate,17,cold,dinner,moderate,Mixed Veg Bowl
vegan,balanced,sweet,Italian,gluten,high,urban,heavy,17,rainy,lunch,high,Mixed Veg Bowl
vegetarian,low fat,umami,Chinese,nuts,medium,suburban,moderate,11,humid,lunch,low,Paneer Chili Dry
vegan,low carb,salty,Chinese,nuts,medium,urban,heavy,65,sunny,lunch,high,Garlic Bok Choy
non-vegetarian,high protein,salty,Indian,soy,medium,suburban,moderate,25,hot,dinner,high,Mixed Veg Bowl
vegetarian,balanced,savory,Mexican,none,high,rural,moderate,24,sunny,lunch,high,Mixed Veg Bowl
non-vegetarian,high protein,umami,Indian,dairy,high,urban,moderate,28,sunny,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,salty,Indian,nuts,high,urban,heavy,31,sunny,breakfast,high,Mixed Veg Bowl
vegetarian,low fat,savory,Italian,soy,medium,rural,moderate,47,sunny,lunch,moderate,Margherita Pizza
non-vegetarian,high protein,sweet,Thai,gluten,medium,rural,heavy,53,sunny,breakfast,high,Mixed Veg Bowl
vegan,high protein,spicy,Italian,nuts,medium,urban,moderate,42,humid,dinner,moderate,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Italian,nuts,high,urban,heavy,26,hot,breakfast,high,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Thai,nuts,medium,rural,moderate,53,sunny,breakfast,high,Mixed Veg Bowl
vegan,low fat,savory,Mexican,gluten,medium,urban,heavy,64,hot,dinner,low,Mixed Veg Bowl
non-vegetarian,balanced,savory,Italian,gluten,high,rural,easy,16,humid,breakfast,high,Spaghetti Bolognese
non-vegetarian,high protein,salty,Thai,none,low,urban,moderate,12,rainy,lunch,low,Salted Fish Fried Rice
vegan,low fat,savory,Mexican,none,high,rural,easy,40,humid,dinner,moderate,Mixed Veg Bowl
vegetarian,balanced,salty,Thai,none,low,rural,easy,14,sunny,lunch,low,Mixed Veg Bowl
vegan,balanced,umami,Indian,soy,high,urban,easy,61,cold,dinner,moderate,Mixed Veg Bowl
vegetarian,high protein,salty,Chinese,dairy,low,suburban,easy,16,cold,breakfast,low,Soy Sauce Noodles
non-vegetarian,balanced,sweet,Indian,soy,low,suburban,heavy,24,cold,breakfast,low,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Thai,none,high,rural,moderate,64,sunny,dinner,moderate,Red Curry Chicken
vegan,low carb,savory,Italian,gluten,high,urban,heavy,56,hot,lunch,moderate,Grilled Eggplant Parmesan
vegetarian,low carb,sweet,Indian,none,low,urban,heavy,67,hot,lunch,moderate,Gulab Jamun
non-vegetarian,low fat,savory,Mexican,nuts,high,rural,heavy,30,hot,dinner,high,Chicken Quesadilla
vegetarian,high protein,sweet,Thai,soy,high,urban,heavy,62,cold,breakfast,low,Mixed Veg Bowl
non-vegetarian,low carb,savory,Mexican,dairy,high,rural,moderate,30,cold,dinner,low,Beef Burrito
vegetarian,low carb,sweet,Italian,nuts,low,urban,moderate,53,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Indian,dairy,high,rural,moderate,21,hot,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,savory,Indian,soy,low,urban,moderate,59,cold,breakfast,high,Mixed Veg Bowl
vegan,low fat,spicy,Indian,nuts,low,suburban,heavy,51,rainy,breakfast,moderate,Chana Masala
vegetarian,low carb,sweet,Indian,none,low,rural,moderate,58,sunny,breakfast,moderate,Kesari Bath
vegetarian,low fat,savory,Thai,none,medium,urban,easy,36,humid,breakfast,moderate,Mixed Veg Bowl
vegetarian,low carb,spicy,Italian,gluten,high,suburban,moderate,63,cold,breakfast,high,Mixed Veg Bowl
vegan,balanced,sweet,Chinese,soy,medium,rural,easy,23,rainy,dinner,high,Lychee Stir Fry
vegan,high protein,sweet,Italian,nuts,low,rural,moderate,58,humid,breakfast,moderate,Mixed Veg Bowl
vegetarian,high protein,umami,Thai,none,low,urban,easy,21,rainy,breakfast,low,Mixed Veg Bowl
vegan,balanced,sweet,Thai,dairy,high,urban,heavy,36,rainy,breakfast,moderate,Vegan Pad Thai
vegan,low carb,savory,Mexican,dairy,medium,suburban,easy,32,cold,lunch,high,Mixed Veg Bowl
vegetarian,balanced,umami,Italian,none,low,rural,moderate,14,cold,dinner,low,Mixed Veg Bowl
vegan,low fat,umami,Indian,gluten,medium,suburban,moderate,69,rainy,breakfast,high,Mixed Veg Bowl
vegan,low carb,savory,Mexican,none,low,rural,heavy,20,hot,dinner,high,Mixed Veg Bowl
vegan,balanced,sweet,Thai,none,high,rural,moderate,54,cold,lunch,moderate,Vegan Pad Thai
vegetarian,low carb,spicy,Thai,soy,medium,suburban,easy,26,cold,dinner,low,Spicy Thai Noodles
non-vegetarian,low carb,sweet,Mexican,none,high,suburban,moderate,56,humid,breakfast,moderate,Mixed Veg Bowl
vegetarian,low carb,umami,Mexican,none,low,urban,easy,27,rainy,dinner,moderate,Mixed Veg Bowl
non-vegetarian,balanced,umami,Italian,soy,high,rural,heavy,65,hot,lunch,low,Mixed Veg Bowl
non-vegetarian,balanced,umami,Chinese,none,high,urban,easy,60,humid,lunch,low,Kung Pao Chicken
vegetarian,high protein,umami,Chinese,gluten,low,urban,heavy,37,rainy,breakfast,high,Vegetable Manchurian
non-vegetarian,high protein,spicy,Chinese,nuts,medium,suburban,moderate,12,hot,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low carb,umami,Indian,none,medium,urban,easy,39,hot,dinner,low,Mixed Veg Bowl
vegetarian,low fat,salty,Thai,none,low,suburban,moderate,68,cold,dinner,low,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Italian,soy,medium,rural,heavy,43,hot,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,spicy,Mexican,none,high,suburban,easy,24,rainy,lunch,high,Spicy Chicken Enchiladas
non-vegetarian,low fat,savory,Mexican,gluten,low,rural,moderate,29,sunny,lunch,high,Chicken Quesadilla
vegan,low fat,spicy,Indian,gluten,high,rural,moderate,65,cold,dinner,high,Baingan Bharta
vegan,low fat,sweet,Italian,soy,medium,urban,easy,54,cold,breakfast,low,Mixed Veg Bowl
vegan,low fat,salty,Thai,gluten,low,urban,easy,12,sunny,lunch,low,Mixed Veg Bowl
vegan,low fat,sweet,Italian,none,high,urban,moderate,31,sunny,lunch,low,Mixed Veg Bowl
non-vegetarian,balanced,salty,Italian,nuts,low,urban,moderate,16,cold,breakfast,high,Anchovy Pizza
non-vegetarian,high protein,sweet,Thai,dairy,high,rural,easy,44,rainy,breakfast,high,Mixed Veg Bowl
vegetarian,low fat,spicy,Chinese,nuts,high,urban,easy,17,hot,breakfast,low,Mixed Veg Bowl
vegan,low carb,sweet,Indian,none,low,urban,easy,14,sunny,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,savory,Italian,soy,medium,suburban,moderate,25,rainy,lunch,low,Spaghetti Bolognese
vegan,low fat,salty,Thai,dairy,high,rural,easy,59,sunny,lunch,moderate,Mixed Veg Bowl
non-vegetarian,high protein,salty,Italian,soy,high,urban,moderate,63,sunny,breakfast,moderate,Anchovy Pizza
vegan,low fat,spicy,Italian,gluten,medium,rural,easy,62,sunny,breakfast,low,Mixed Veg Bowl
vegetarian,balanced,savory,Italian,dairy,medium,urban,moderate,33,sunny,dinner,low,Margherita Pizza
non-vegetarian,balanced,salty,Indian,gluten,high,rural,heavy,63,hot,lunch,low,Mixed Veg Bowl
vegan,high protein,spicy,Italian,gluten,medium,urban,easy,53,hot,dinner,low,Mixed Veg Bowl
non-vegetarian,low carb,umami,Italian,none,medium,urban,heavy,15,humid,breakfast,high,Mixed Veg Bowl
vegan,low fat,spicy,Indian,soy,high,suburban,easy,48,rainy,lunch,low,Baingan Bharta
vegetarian,low carb,umami,Chinese,dairy,medium,suburban,easy,51,hot,breakfast,low,Paneer Chili Dry
vegetarian,low fat,spicy,Thai,soy,high,rural,moderate,67,hot,lunch,high,Spicy Thai Noodles
non-vegetarian,high protein,umami,Indian,none,low,urban,heavy,23,sunny,dinner,moderate,Mixed Veg Bowl
vegetarian,low fat,savory,Indian,soy,medium,urban,moderate,48,cold,dinner,high,Mixed Veg Bowl
vegetarian,balanced,spicy,Mexican,nuts,medium,suburban,easy,62,hot,dinner,moderate,Spicy Bean Enchiladas
vegan,balanced,sweet,Thai,nuts,low,suburban,easy,26,rainy,lunch,high,Vegan Pad Thai
vegan,low carb,salty,Chinese,nuts,medium,rural,easy,69,rainy,breakfast,high,Garlic Bok Choy
non-vegetarian,balanced,sweet,Indian,soy,low,suburban,moderate,39,hot,lunch,high,Mixed Veg Bowl
vegan,high protein,salty,Thai,nuts,high,urban,easy,68,rainy,breakfast,low,Mixed Veg Bowl
vegan,high protein,spicy,Italian,dairy,medium,rural,moderate,49,cold,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,salty,Thai,soy,high,rural,moderate,35,sunny,breakfast,high,Mixed Veg Bowl
vegan,low fat,spicy,Italian,dairy,high,urban,easy,60,sunny,dinner,high,Mixed Veg Bowl
vegan,high protein,umami,Italian,nuts,medium,rural,easy,21,humid,breakfast,high,Mushroom Risotto
vegan,low carb,spicy,Mexican,gluten,low,rural,easy,46,humid,lunch,low,Mixed Veg Bowl
non-vegetarian,balanced,salty,Chinese,soy,medium,rural,easy,67,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Indian,dairy,low,suburban,heavy,28,sunny,lunch,high,Mixed Veg Bowl
vegetarian,balanced,salty,Thai,nuts,medium,suburban,heavy,14,cold,lunch,moderate,Mixed Veg Bowl
vegan,balanced,spicy,Italian,none,medium,suburban,easy,47,rainy,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low carb,savory,Chinese,gluten,medium,rural,heavy,29,humid,dinner,high,Mixed Veg Bowl
vegetarian,low fat,savory,Indian,nuts,medium,urban,heavy,54,humid,lunch,low,Mixed Veg Bowl
non-vegetarian,low carb,umami,Italian,none,high,suburban,easy,49,hot,lunch,moderate,Mixed Veg Bowl
vegan,low carb,sweet,Italian,dairy,low,suburban,heavy,56,humid,breakfast,low,Mixed Veg Bowl
vegan,high protein,savory,Italian,dairy,medium,suburban,easy,21,cold,dinner,moderate,Grilled Eggplant Parmesan
non-vegetarian,balanced,spicy,Thai,gluten,high,urban,heavy,50,humid,dinner,low,Red Curry Chicken
vegan,balanced,umami,Mexican,dairy,low,suburban,easy,55,rainy,dinner,moderate,Mixed Veg Bowl
vegetarian,low fat,sweet,Thai,gluten,low,suburban,easy,66,rainy,breakfast,high,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Indian,soy,medium,suburban,moderate,37,rainy,dinner,low,Chicken Biryani
vegetarian,low carb,umami,Indian,gluten,medium,suburban,moderate,24,rainy,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,salty,Mexican,dairy,low,urban,moderate,47,humid,dinner,high,Mixed Veg Bowl
vegetarian,high protein,salty,Mexican,gluten,low,rural,easy,67,cold,dinner,moderate,Mixed Veg Bowl
vegan,balanced,salty,Thai,none,medium,urban,easy,22,humid,lunch,high,Mixed Veg Bowl
vegan,balanced,salty,Indian,none,medium,urban,heavy,52,hot,dinner,high,Mixed Veg Bowl
vegetarian,balanced,sweet,Thai,dairy,medium,urban,easy,29,sunny,lunch,low,Mixed Veg Bowl
non-vegetarian,low carb,savory,Indian,nuts,high,suburban,heavy,39,rainy,dinner,high,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Italian,none,medium,urban,moderate,20,sunny,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Mexican,nuts,low,rural,easy,54,cold,lunch,low,Mixed Veg Bowl
vegetarian,high protein,umami,Italian,gluten,low,suburban,heavy,55,humid,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,sweet,Mexican,nuts,low,rural,easy,43,rainy,dinner,low,Vegan Churros
vegan,low fat,sweet,Mexican,none,high,suburban,easy,28,hot,dinner,low,Vegan Churros
vegetarian,low fat,spicy,Italian,none,high,urban,moderate,19,sunny,lunch,low,Mixed Veg Bowl
vegetarian,low carb,umami,Italian,none,low,suburban,easy,64,humid,dinner,low,Mixed Veg Bowl
vegan,low fat,sweet,Italian,soy,high,suburban,easy,63,rainy,lunch,high,Mixed Veg Bowl
vegetarian,balanced,spicy,Thai,soy,high,suburban,heavy,52,sunny,breakfast,moderate,Green Curry with Veggies
vegan,low fat,umami,Indian,soy,low,suburban,heavy,44,cold,breakfast,high,Mixed Veg Bowl
vegan,low carb,sweet,Thai,soy,medium,rural,heavy,62,sunny,dinner,high,Vegan Pad Thai
non-vegetarian,high protein,savory,Thai,none,low,rural,easy,58,rainy,breakfast,low,Mixed Veg Bowl
